location,title,price_eur,rooms,m2,build_material,year,page,kinder_garden,metro_station
Lulin 4,Prodava tristaen apartament,127900EUR,3,85,Panel,1979,1,1,0
Svoboda,Sobstvenik prodava apartament sled osnoven remont.,119000EUR,2,65,Panel,1985,1,1,0
Zona B5,Dvustaen - Zona B-5,125000EUR,2,50,Tuhla,1970,1,1,0
v.z.Simeonovo - Dragalevzi,Dvustaen apartament v butikova sgrada v kv. Simeonovo. V stroej! Ot PORTFOLIO BP,141500EUR,2,79,Tuhla,2024,1,1,0
Zent_r,"Mnogostaen apartament- Zent_r, gr. Sofia",499550EUR,4,219,Tuhla,1936,1,1,1
Malinova Dolina,Tristaen apartament №61 v OKINAWA Boutique Residence,215045EUR,3,162.4,Tuhla,n/a,1,1,1
Hadji Dimit_r,Tristaen apartament v nov kompleks do zent_ra na Sofia,168361EUR,3,108.62,Tuhla,2023,1,1,1
Drujba 2,3 - staen v Drujba!!! Bez komisionna!!! Promozionalni zeni do kraa na godinata!!!,172080EUR,3,100,Tuhla,2024,1,1,1
Zent_r,Dvustaen apartament v nova sgrada do L_vov most,142043EUR,2,76.78,Tuhla,2023,1,1,1
Simeonovo,tristaen apartament s panorama Vitosa,230000EUR,3,135,Tuhla,2024,1,1,1
Ovca Kupel,AKT 14! Dvustaen apartament v Ovca kupel,75000EUR,2,52,Tuhla,2023,1,1,1
Lulin 1,"Dvustaen apartament, Lulin 1",95000EUR,2,57,EPK/PK,1984,1,1,1
Belite Brezi,Dvustaen apartament Belite Brezi,168999EUR,2,80,Tuhla,2000,1,1,1
Lulin 4,Tristaen apartament v sgrada HD&M Residence v kv. ”Lulin 4”,108900EUR,3,87.12,Tuhla,n/a,1,1,1
Lulin 4,Dvustaen apartament v nova moderna sgrada v razvivas se rajon,82336EUR,2,60.99,Tuhla,2023,1,1,1
Sveta Troiza,Dvustaen apartament v Sveta troiza,104000EUR,2,74,EPK/PK,1986,1,1,1
Sveta Troiza,Investitor prodava dvustajni apartamenti! Akt 14!,129811EUR,2,68,Tuhla,2022,1,1,1
Lulin 5,"Tristaen apartament- kv. Lulin 5, gr. Sofia",135000EUR,3,93,Panel,1980,1,1,1
Drujba 2,Bez komisionna ot kupuvaca!!! Promozionalni zeni do kraa na godinata!!!,87183EUR,2,59,Tuhla,2025,1,1,1
Avorov,"Prodava 3-staen v kv. Avorov, Sofia",269900EUR,3,81,Tuhla,1965,1,1,1
Vr_bniza 2,BEZ KOMISION OT KUPUVACA - tristaen apartament Vr_bniza 2,156127EUR,3,116,Tuhla,2024,1,1,1
Boana,Dvustaen apartament za prodajba v rezidenzia Berlin Park Boyana,215960EUR,2,107.98,Tuhla,n/a,1,1,1
Geo Milev,Tristaen apartament s parkomasto do park Geo Milev,295000EUR,3,107,Tuhla,2007,1,1,1
Lulin 5,Tristaen apartament A-41 v kompleks Atlantis Barcode,137000EUR,3,97.93,Tuhla,n/a,1,1,1
Malinova Dolina,Komforten dvustaen apartament №7 v OKINAWA Boutique Residence,110732EUR,2,75.93,Tuhla,n/a,1,1,1
Kr_stova Vada,Dvustaen apartament v moderen kompleks v kv. ”Kr_stova vada”,133980EUR,2,72.42,Tuhla,n/a,1,1,1
Kr_stova Vada,Dvustaen apartament v sgrada ASTRIS do ul. ”Flora K_neva”,164735EUR,2,70.1,Tuhla,n/a,1,1,1
Kr_stova Vada,"Tristaen apartament v sgrada ASTRIS, do ul. ”Flora K_neva”",230483EUR,3,100.21,Tuhla,n/a,1,1,1
Lozenez,Tristaen apartament v kv. Lozenez,299000EUR,3,95,EPK/PK,1997,1,1,1
Simeonovo,"Luksozno obzaveden ednostaen apartament v kv. Simeonovo
 Simeonovo, Sofia",136000EUR,0,54,Tuhla,2022,2,0,0
Sofia,"Obzaveden parteren tristaen apartament s golama zimna gradina do park Geo Milev za prodajba
Sofia",255000EUR,3,94,Tuhla,2017,2,0,0
Nadejda 3,"Prodajba 1-staen gr. Sofia - Nadejda 3 42m²
Nadejda 3, Sofia",77700EUR,0,42,Panel,n/a,2,0,0
Mladost 1,"Obzaveden tristaen v kv. Mladost 1
Mladost 1, Sofia",260000EUR,3,119,Tuhla,2008,2,0,0
B_kston,"Apartament 114 kv.m samo na 70 metra ot moreto
B_kston, Sofia",188000EUR,2,114,Panel,2008,2,0,0
Ilinden,"Prodavam apartament
 Ilinden, Sofia",188000EUR,3,86,Panel,1982,2,0,0
Boana,"Tristaen apartament za prodajba v rezidenzia Berlin Park Boyana
 Boana, Sofia",294980EUR,3,147.49,Tuhla,n/a,2,0,0
Boana,"Mnogostaen apartament za prodajba v rezidenzia Berlin Park Boyana
 Boana, Sofia",502020EUR,4,251.01,Tuhla,n/a,2,0,0
Mladost 4,"Prodava 3-staen, kv. Mladost 4
Mladost 4, Sofia",195000EUR,3,65,Panel,1980,2,0,0
Gorna Bana,"Dvustaen apartament 72 kv.m Tuhla 3 etaj
Gorna Bana, Sofia",95000EUR,2,72,Tuhla,1980,2,0,1
D_rveniza,"Prodava dvustaen apartament v gr. Sofia, kv. D_rveniza, 155 900 EUR
 D_rveniza, Sofia",155900EUR,2,67,Tuhla,2023,2,0,1
Malinova Dolina,"Tristaen apartament s parkomasto v zenata kv. Malinova dolina
Malinova Dolina, Sofia",150000EUR,3,79,Tuhla,2023,2,0,1
Sveta Troiza,"Prodava se 2-en v j.k. Sveta Troiza
Sveta Troiza, Sofia",130000EUR,2,56,Panel,1973,2,0,1
Kr_stova Vada,"Tristaen apartament v butikova sgrada do MOL Paradajz i Ujnia park
Kr_stova Vada, Sofia",248500EUR,3,131,Tuhla,2024,2,0,1
Obela 2,"2-staen Obela-2, sled remont, 52kv.m, et.1, panel, ZENA:109 200 evro
Obela 2, Sofia",109200EUR,2,52,Panel,1987,2,0,1
Malinova Dolina,"Tristaen apartament v kv. Malinova Dolina
Malinova Dolina, Sofia",160223EUR,3,92,Tuhla,2024,2,0,1
Ovca Kupel,"Prodavam EDNOSTAEN apartament
Ovca Kupel, Sofia",52000EUR,0,30,Tuhla,2024,2,0,1
Dianabad,"Tristaen apartament do hotel Vega v Dianabad/Studentski grad
Dianabad, Sofia",189000EUR,3,115,Tuhla,2023,2,0,1
Vr_bniza 1,"Prodava tristaen apartament- j.k. Nadejda 3
Vr_bniza 1, Sofia",165000EUR,3,90,Panel,1987,2,0,1
Zona B5,"TOP oferta tristaen apartament
 Zona B5, Sofia",205000EUR,3,100,EPK/PK,1986,2,0,1
Tolstoj,"Prodajba na imot
Tolstoj, Sofia",90000EUR,2,56,Panel,1970,2,1,1
Mladost 2,"Tristaen apartament v j.k. Mladost 2
Mladost 2, Sofia",190000EUR,3,77,Tuhla,2018,2,1,1
Strelbise,"Tristaen apartament v kv. Strelbise
Strelbise, Sofia",327500EUR,3,115,Tuhla,2012,2,1,1
Vitosa,"Cetiristaen apartament v k-s Modera Rezid_ns
 Vitosa, Sofia",459000EUR,4,334,Tuhla,2020,2,1,1
Zent_r,"Tristaen, tuhlen s parkomasto v zent_ra
 Zent_r, Sofia",250000EUR,3,90,Tuhla,1911,2,1,1
Lozenez,"Prodavam 3-stajno jilise v Lozenez, s v_zmojnost za garaj i parkomasto
Lozenez, Sofia",265000EUR,3,116,Tuhla,1970,2,1,1
Geo Milev,"Tristaen mezonet v Geo Milev
Geo Milev, Sofia",270000EUR,3,140,Tuhla,2023,2,1,1
Zent_r,"prodavam 2-staen v Zent_ra, do ul. Antim I
Zent_r, Sofia",129000EUR,2,65,Tuhla,1965,2,1,1
Orlandovzi,"Prodavam 2-staen apartament v kv. Orlandovzi
Orlandovzi, Sofia",80000EUR,2,65,Panel,1985,2,1,1
Ovca Kupel,"3-staen 106 kv.m., do metro stanzia Ovca Kupel, pred akt 14
Ovca Kupel, Sofia",136000EUR,3,106,Tuhla,2024,2,1,1
m. G_rdova glava,"Mnogostaen s dvor - OT STROITEL kv. Boana m. G_rdova glava
 m. G_rdova glava, Sofia",362730EUR,4,466,Tuhla,2023,3,0,0
Boana,"Tristaen v Boana - m. G_rdova glava OT STROITEL
 Boana, Sofia",185057EUR,3,109,Tuhla,2023,3,0,0
Mladost 1,"Tristaen apartament s dvor v Mladost 1
Mladost 1, Sofia",163000EUR,3,110,Tuhla,2024,3,0,0
Manastirski Livadi,"PRED AKT 16! Tristaen apartament v Manastirski livadi
Manastirski Livadi, Sofia",185000EUR,3,105,Tuhla,2023,3,0,0
Vitosa,"AKT 16! Ednostaen apartament v kv. Vitosa
Vitosa, Sofia",76000EUR,0,43,Tuhla,2022,3,0,0
Ovca Kupel 1,"Prodava 2-en v j.k. Ovca kupel 1
Ovca Kupel 1, Sofia",110000EUR,2,65,Tuhla,2023,3,0,0
Boana,"Tristaen apartament kv. Boana
Boana, Sofia",231900EUR,3,123,Tuhla,2010,3,0,0
Ovca Kupel 1,"Dvustaen apartament v kv. Ovca kupel 1
Ovca Kupel 1, Sofia",129900EUR,2,70,Panel,1990,3,0,1
Malinova Dolina,"Tristaen apartament v Malinova dolina. Akt 14. Dogovor s investitora.
Malinova Dolina, Sofia",168000EUR,3,102,Tuhla,2024,3,0,1
Dragalevzi,"Prodava 2-staen v Dragalevzi
Dragalevzi, Sofia",189000EUR,2,143,Tuhla,2014,3,0,1
Kr_stova Vada,"3-staen apartament v butikova sgrada do MOL Paradajz, Ujen park
Kr_stova Vada, Sofia",157900EUR,3,114,Tuhla,2024,3,0,1
Vitosa,"Dvustaen apartament do Zooparka
Vitosa, Sofia",139000EUR,2,100,Tuhla,2020,3,0,1
Kr_stova Vada,"Dvustaen apartament v Kr_stova vada
Kr_stova Vada, Sofia",140000EUR,2,100,Tuhla,2022,3,0,1
Vitosa,"Atelie s gradina
Vitosa, Sofia",82000EUR,0,38,Tuhla,2022,3,0,1
Zent_r,"Dvustaen apartament v Zent_r
Zent_r, Sofia",156000EUR,2,70,Tuhla,2003,3,0,1
Ovca Kupel,"Prodava neprehoden 3-staen, kv. Ovca kupel 2, do spirki
Ovca Kupel, Sofia",148000EUR,3,80,Panel,1986,3,0,1
Hadji Dimit_r,"Nov dvustaen apartament v nov kompleks blizo do zent_ra na Sofia
 Hadji Dimit_r, Sofia",109296EUR,2,78.63,Tuhla,2023,3,0,1
Hadji Dimit_r,"Tristaen apartament v nov kompleks blizo do zent_ra na Sofia
 Hadji Dimit_r, Sofia",181319EUR,3,116.98,Tuhla,2023,3,0,1
Ovca Kupel,"Dvustaen apartament v Ovca kupel s AKT 14!!!
Ovca Kupel, Sofia",86190EUR,2,64,Tuhla,n/a,3,0,1
Ovca Kupel 2,"Mnogostaen do Metrostanzia Ovca Kupel 2
 Ovca Kupel 2, Sofia",271180EUR,4,182,EPK/PK,1980,3,0,1
Malinova Dolina,"Dvustaen Apartament v Malinova Dolina
Malinova Dolina, Sofia",103600EUR,2,63,Tuhla,2023,3,0,1
Zona B5,"Tristaen apartament v s_rzeto na Sofia
Zona B5, Sofia",205000EUR,3,100,EPK/PK,1985,3,0,1
Manastirski Livadi,"Prodava 3-STAEN grad Sofia, j.k. Manastirski livadi - 180 758 EUR
Manastirski Livadi, Sofia",180758EUR,3,103,Tuhla,2024,3,0,1
Zent_r,"Dvustaen apartament v Zent_r
Zent_r, Sofia",98900EUR,2,48,Tuhla,n/a,3,0,1
Zent_r,"Prostoren mezonet v zentralnata cast na Sofia
Zent_r, Sofia",naimota:Mnogostaen,0,Тухла,2010 g.,n/a,3,0,1
Boana,"Mnogostaen apartament 203 kv.m Tuhla 2015 g. 3 etaj Neposleden
Boana, Sofia",550000EUR,4,203,Tuhla,2015,3,0,1
Malinova Dolina,"Nov proekt v naj-atraktivnata cast na kv. Malinova dolina - do park, magazini Fantastiko i Kaufland
 Malinova Dolina, Sofia",77600EUR,0,60.06,Tuhla,2025,3,0,1
Malinova Dolina,"Novi jilisa, moderen dizajn i top lokazia blizo do NSA
 Malinova Dolina, Sofia",91039EUR,2,68.22,Tuhla,2025,3,0,1
Malinova Dolina,"Marea SKY II - dokazan stil i kacestvo v kv. Malinova dolina
 Malinova Dolina, Sofia",56385EUR,0,44.91,Tuhla,2024,3,0,1
Poduane,"Novostroasa se sgrada na edno ot naj-komunikativnite mesta v Sofia
 Poduane, Sofia",69462EUR,2,38.59,Tuhla,2025,3,0,1
Banisora,"Kenar Rezid_ns - sgrada s ozelenen dvor na bul. Slivniza i ul. D. Petkov
 Banisora, Sofia",150732EUR,2,105.04,Tuhla,2024,4,0,0
Karpuziza,"Luksozna jilisna sgrada s napredvaso stroitelstvo v kv. Karpuziza
 Karpuziza, Sofia",71920EUR,0,46.46,Tuhla,2024,4,0,0
Banisora,"Central Park - masaben kompleks s 12 dka park
 Banisora, Sofia",86961EUR,0,56.58,Tuhla,2000,4,0,0
Zent_r,"TOP PREDLOJENIE!! Neveroaten Penthaus v Idealen Zent_r na metri ot S_debna Palata i Vitoska
Zent_r, Sofia",1500000,4,501,Tuhla,2022,4,0,0
Drujba 2,"Tristaen apartament v Drujba za prodajba
Drujba 2, Sofia",140000EUR,3,109,Tuhla,2023,4,0,0
Sofia,"Prodava nov 2-en v kv. Kr_stova vada
Sofia",124000EUR,2,65,Tuhla,2023,4,0,1
Sofia,"Prodava 2-STAEN grad Sofia, j.k. Manastirski livadi, - 107 152 EUR
Sofia",107152EUR,2,66,Tuhla,2024,4,0,1
Malinova Dolina,"Dvustaen apartament 75 kv.m Tuhla 2 etaj
 Malinova Dolina, Sofia",126941EUR,2,75,Tuhla,2023,4,0,1
Malinova Dolina,"Dvustaen apartament 74 kv.m Tuhla 4 etaj
 Malinova Dolina, Sofia",124757EUR,2,74,Tuhla,2023,4,0,1
Malinova Dolina,"Dvustaen apartament 75 kv.m Tuhla 3 etaj
 Malinova Dolina, Sofia",126017EUR,2,75,Tuhla,2023,4,0,1
Malinova Dolina,"Dvustaen apartament 72 kv.m Tuhla 2 etaj
 Malinova Dolina, Sofia",121918EUR,2,72,Tuhla,2023,4,0,1
Manastirski Livadi,"Dvustaen apartament- kv. Manastirski Livadi, gr. Sofia
 Manastirski Livadi, Sofia",130000EUR,0,64,Tuhla,2023,4,0,1
Levski V,"Dvustaen apartament- kv. Levski V, gr. Sofia
 Levski V, Sofia",77000EUR,2,67,Tuhla,2023,4,0,1
Drujba 1,"Cetiristaen apartament- kv. Drujba 1, gr. Sofia
Drujba 1, Sofia",145000EUR,4,137,Tuhla,2023,4,0,1
Tolstoj,"Tristaen apartament- kv. Tolstoj, gr. Sofia
 Tolstoj, Sofia",130000EUR,3,60,Panel,1967,4,0,1
Kr_stova Vada,"Dvustaen apartament v kv. Kr_stova vada
Kr_stova Vada, Sofia",123990EUR,2,70,Tuhla,2022,4,0,1
Vitosa,"Mnogostaen apartament v kv. Vitosa
Vitosa, Sofia",269990EUR,4,245,Tuhla,2022,4,0,1
Reduta,"Tristaen apartament v Reduta
Reduta, Sofia",235000EUR,3,130,Tuhla,2023,4,0,1
Dianabad,"Dvustaen apartament do hotel Vega v Dianabad/Studentski grad
Dianabad, Sofia",138500EUR,2,82,Tuhla,2023,4,0,1
Malinova Dolina,"Prodavam Dvustaen Apartament gr. Sofia kv. Malinova Dolina do NSA
 Malinova Dolina, Sofia",114076EUR,2,79,Tuhla,2023,4,0,1
Lozenez,"Dvustaen Obzaveden apartament na dve niva v Lozenez blizo do Hotel Marinela i Ujen Park
Lozenez, Sofia",203000EUR,2,70,Tuhla,1990,4,0,1
Dragalevzi,"Luksozen dvustaen apartament s top lokazia
 Dragalevzi, Sofia",207000EUR,2,95,Tuhla,2016,4,0,1
Lozenez,"Dvustaen apartament v nova moderna sgrada do Ujen park
 Lozenez, Sofia",162292EUR,2,62.79,Tuhla,2023,4,0,1
Lozenez,"P_rvoklasen cetiristaen apartament do Ujen park
 Lozenez, Sofia",660544EUR,4,206.42,Tuhla,n/a,4,0,1
v.z.Malinova dolina,"Cetiristaen penthaus s dve parkomesta v zatvoren kompleks
 v.z.Malinova dolina, Sofia",980000EUR,10,238.96,Tuhla,2023,4,0,1
Nadejda 1,"Ujen ednostaen apartament na top masto v Nadejda 1 - do metro
Nadejda 1, Sofia",81500EUR,0,47,Panel,1980,4,0,1
Razsadnika,"2-staen Razsadnika
Razsadnika, Sofia",106000EUR,2,63,EPK/PK,1989,4,0,1
Kr_stova Vada,"Tristaen apartament v sgrada ASTRIS, do ul. ”Flora K_neva”
 Kr_stova Vada, Sofia",228870EUR,3,101.72,Tuhla,n/a,4,0,1
Kr_stova Vada,"Cetiristaen apartament v sgrada ASTRIS, do ul. ”Flora K_neva”
 Kr_stova Vada, Sofia",576090EUR,4,250.45,Tuhla,n/a,5,0,0
Vr_bniza 1,"Kompakten dvustaen v kv. Vr_bniza 1, sled osnoven remont
Vr_bniza 1, Sofia",87600EUR,2,46,Panel,1985,5,0,0
Nadejda 2,"2-staen apartament
Nadejda 2, Sofia",105900EUR,2,56,EPK/PK,1986,5,0,0
Vitosa,"Tristaen obzaveden apartament s Parkomasto v kv. Vitosa na tiha uliza blizo do Zooparka
Vitosa, Sofia",195000EUR,3,91,Tuhla,2012,5,0,0
Lulin 10,"Dvustaen v Lulin 10 pred Akt 16
Lulin 10, Sofia",110000EUR,2,93,Tuhla,2023,5,0,0
Vitosa,"Dvustaen v nova sgrada na Simeonovsko Sose
 Vitosa, Sofia",96600EUR,2,69,Tuhla,2023,5,0,0
Lulin 7,"Dvustaen apartament 55 kv.m EPK/PK 1984 g. 3 etaj Neposleden
Lulin 7, Sofia",99000EUR,2,55,EPK/PK,1984,5,0,1
Manastirski Livadi,"Dvustaen apartament 53 kv.m Tuhla 2000 g. 7 etaj Posleden etaj
Manastirski Livadi, Sofia",109000EUR,2,53,Tuhla,2000,5,0,1
Levski,"dvustaen ujen apartament s AKT 16 zav_rsen do kluc na Botevgradsko sose
Levski, Sofia",120000EUR,2,71,Tuhla,2023,5,0,1
v.z.Malinova dolina,"Dvustaen apartament s akt 14 v novostroasa se sgrada v blizost do NSA v kv. Malinova dolina
v.z.Malinova dolina, Sofia",103817EUR,2,77,Tuhla,2024,5,0,1
Razsadnika,"Tristaen apartament 94 kv.m Tuhla 2023 g. 3 etaj
Razsadnika, Sofia",137000EUR,3,94,Tuhla,2023,5,0,1
Razsadnika,"Dvustaen apartament 51 kv.m Tuhla 2023 g. 4 etaj
Razsadnika, Sofia",64000EUR,2,51,Tuhla,2023,5,0,1
Lulin 5,"Apartament v Lulin
 Lulin 5, Sofia",145929EUR,10,139,Tuhla,2023,5,0,1
Nadejda 4,"novo stroitelstvo
 Nadejda 4, Sofia",169377EUR,3,131,Tuhla,2025,5,0,1
Nadejda 4,"Apartament j.k. Nadejda 4
 Nadejda 4, Sofia",134637EUR,3,104,Tuhla,2025,5,0,1
m. G_rdova glava,"Luksozen prostoren 3-staen apartament v m. G_rdova glava
m. G_rdova glava, Sofia",239556EUR,3,129,Tuhla,2010,5,0,1
m. G_rdova glava,"Luksozen prostoren 3-staen apartament v m. G_rdova glava
m. G_rdova glava, Sofia",261775EUR,3,141,Tuhla,2010,5,0,1
Strelbise,"Prodava 3-staen EPK v jk Strelbise, Sofia, zena: 213000evro
Strelbise, Sofia",213000EUR,3,98,EPK/PK,1980,5,0,1
Drujba 1,"Prodava obsiren 3-staen v Drujba-1, na ul. ”Dimit_r Spisarevski”, Zena:
Drujba 1, Sofia",136000EUR,3,90,Panel,1980,5,0,1
Zent_r,"Prodava 3-staen idealen zent_r Sofia, do NDK, Zena: 270 000evro
Zent_r, Sofia",270000EUR,3,70,Tuhla,1941,5,0,1
D_rveniza,"Castno lize prodava PoluSuterenen parteren apartament / ofis / sklad 86kv.m.
 D_rveniza, Sofia",105000EUR,3,86,Tuhla,2007,5,0,1
Zent_r,"tristaen v Idealen Zent_r s_s zema 24kv GOTOVI DOKUMENTI - metro Serdika
 Zent_r, Sofia",189000EUR,3,69,Tuhla,1950,5,0,1
Fondovi Jilisa,"Dvustaen apartament 68 kv.m EPK/PK 1980 g. 13 etaj
Fondovi Jilisa, Sofia",129900EUR,2,68,EPK/PK,1980,5,0,1
Suhata reka,"Tristaen apartament 88 kv.m Panel 1998 g. 4 etaj
Suhata reka, Sofia",183000EUR,3,88,Panel,1998,5,0,1
Drujba 1,"Dvustaen apartament 59 kv.m Tuhla 2023 g. 5 etaj
Drujba 1, Sofia",101200EUR,2,59,Tuhla,2023,5,0,1
Drujba 1,"Dvustaen apartament 70 kv.m EPK/PK 1985 g. 3 etaj
Drujba 1, Sofia",105000EUR,2,70,EPK/PK,1985,5,0,1
Malinova Dolina,"Tristaen apartament, kv. ”Vitosa”
Malinova Dolina, Sofia",219000EUR,3,127,Tuhla,2023,5,0,1
Zapaden Park,"3-staen apartament Zapaden Park
Zapaden Park, Sofia",144000EUR,3,60,Panel,1975,5,0,1
Krasna Polana,"Prodava tristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",118922EUR,3,88,Tuhla,2026,5,0,1
Kr_stova Vada,"Prodava tristaen apartament v butikov kompleks
Kr_stova Vada, Sofia",226716EUR,3,121,Tuhla,2024,5,0,1
Kr_stova Vada,"Prodava tristaen apartament s top lokazia
Kr_stova Vada, Sofia",218574EUR,3,121,Tuhla,2024,6,0,0
Krasna Polana,"Prodava tristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",119658EUR,3,85,Tuhla,2026,6,0,0
Krasna Polana,"Prodava cetiristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",189378EUR,4,135,Tuhla,2026,6,0,0
Krasna Polana,"Prodava tristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",123201EUR,3,94,Tuhla,2026,6,0,0
Krasna Polana,"Prodava cetiristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",170226EUR,4,121,Tuhla,2026,6,0,0
Kr_stova Vada,"Prodava Tristaen apartament s Razresenie za polzvane v kv. Kr_stova vada
Kr_stova Vada, Sofia",315317EUR,3,180,Tuhla,2021,6,0,0
Kr_stova Vada,"Prodava tristaen apartament v butikov kompleks
Kr_stova Vada, Sofia",212598EUR,3,114,Tuhla,2024,6,0,0
Sveta Troiza,"Investitor prodava posleden tristaen apartament! Akt 14!
 Sveta Troiza, Sofia",243667EUR,3,127,Tuhla,2022,6,0,0
Zent_r,"Prodavam dvustajno jilise v top zent_r
Zent_r, Sofia",217000EUR,2,70,Tuhla,1946,6,0,0
Lulin 6,"Dvustaen apartament v j.k. Lulin-6
Lulin 6, Sofia",79000EUR,2,70,Tuhla,2021,6,0,0
Manastirski Livadi,"Tristaen, obzaveden, top_l v Man. Livadi
Manastirski Livadi, Sofia",168000EUR,3,80,Tuhla,2013,6,0,0
Nadejda 2,"Tri spalni, nap_lno obzaveden v kv. Nadejda 2
Nadejda 2, Sofia",167900EUR,4,110,EPK/PK,1986,6,0,1
Zent_r,"Prodavam cudesen apartament v Top zent_r, ul. Alabin
Zent_r, Sofia",214888EUR,3,60,Tuhla,1950,6,0,1
Zent_r,"Prodavam tristaen apartament do operata
Zent_r, Sofia",308888EUR,3,92,Tuhla,1945,6,0,1
Zent_r,"Prodavam tristaen apartament na bul. Vitosa
Zent_r, Sofia",154888EUR,3,87,Tuhla,1940,6,0,1
Ovca Kupel,"Prodava nov 3-staen v j.k. Ovca kupel
Ovca Kupel, Sofia",180419EUR,3,120,Tuhla,2024,6,0,1
Manastirski Livadi,"Apartament 53 kv.m. ot Sobstvenik - Nap_lno obzaveden, Akt 16 ot 2012 g - TOP Lokazia
 Manastirski Livadi, Sofia",149998EUR,2,53,Tuhla,2009,6,0,1
Malinova Dolina,"Prodava prostoren dvustaen apartament v Malinova dolina
Malinova Dolina, Sofia",129000EUR,2,76,Tuhla,2023,6,0,1
Vitosa,"Prodava uuten, nap_lno obzaveden dvustaen apartament v kv. Vitosa
Vitosa, Sofia",173000EUR,2,91,Tuhla,2008,6,0,1
Oborise,"Prodava tristaen apartament v kv. Oborise, gr. Sofia
Oborise, Sofia",210000EUR,3,82,Tuhla,1968,6,0,1
Lulin 5,"Bez komisiona! Dvustaen apartament Lulin 5
Lulin 5, Sofia",80522EUR,2,71,Tuhla,2023,6,0,1
Mladost 3,"Bez komisiona! Tristaen apartament Mladost 3
Mladost 3, Sofia",249000EUR,3,127,Tuhla,2024,6,0,1
Levski G,"AKT 16! Dvustaen obzaveden apartament Levski G
Levski G, Sofia",148000EUR,2,74,Tuhla,2023,6,0,1
Manastirski Livadi,"Dvustaen apartament Manastirski livadi
Manastirski Livadi, Sofia",99000EUR,2,66,Tuhla,2023,6,0,1
Mladost 1,"Tristaen apartament Mladost 1
Mladost 1, Sofia",201000EUR,3,103,EPK/PK,1980,6,0,1
Krasno Selo,"Bez komisiona! Mezonet Krasno selo
Krasno Selo, Sofia",185163EUR,10,123,Tuhla,2023,6,0,1
Malinova Dolina,"Dvustaen apartament Malinova dolina
Malinova Dolina, Sofia",105300EUR,2,78,Tuhla,2023,6,0,1
s. Kladniza,"Bez komisiona! Tristaen apartament s. Kladniza
s. Kladniza, Sofia",149869EUR,3,90,Tuhla,2024,6,0,1
Mladost 3,"Bez komisiona! Dvustaen apartament Mladost 3
Mladost 3, Sofia",140000EUR,2,77,Tuhla,2024,6,0,1
Nadejda 1,"Mezonet Nadejda 1 Pred AKT 16
Nadejda 1, Sofia",160000EUR,10,104,Tuhla,2023,7,0,0
Lozenez,"Dvustaen apartament v novostroasa sgrada v kv. Lozenez
Lozenez, Sofia",187839EUR,2,70,Tuhla,2027,7,0,1
Hadji Dimit_r,"Sobstvenik prodava golam tristaen apartament s garaj
Hadji Dimit_r, Sofia",168376EUR,3,109,Tuhla,2023,7,0,1
Hladilnika,"Cudesen Penthaus v Belia kvartal
Hladilnika, Sofia",564750EUR,4,251,Tuhla,2023,7,0,1
Hladilnika,"3-sten parter s golam dvor v Belia kvartal
Hladilnika, Sofia",248500EUR,3,115,Tuhla,2023,7,0,1
Goze Delcev,"Prodava se dvustaen tuhla v Goze Delcev
Goze Delcev, Sofia",175000EUR,2,86,Tuhla,1995,7,0,1
Goze Delcev,"Prodava se tristaen tuhla v Goze Delcev
Goze Delcev, Sofia",258000EUR,3,114,Tuhla,1995,7,0,1
Malinova Dolina,"Dvustaen apartament, Malinova dolina
Malinova Dolina, Sofia",86250EUR,2,69,Tuhla,2024,7,0,1
Malinova Dolina,"Dvustaen apartament, Malinova dolina
Malinova Dolina, Sofia",81000EUR,2,65,Tuhla,2024,7,0,1
Malinova Dolina,"Obzaveden dvustaen apartament za prodajba v nova sgrada
 Malinova Dolina, Sofia",169000EUR,2,62.82,Tuhla,2023,7,0,1
Lulin 1,"Prodavam ednostaen
 Lulin 1, Sofia",70000EUR,0,38,EPK/PK,1980,7,0,1
Lulin 1,"prodavam dvustaen
Lulin 1, Sofia",88000EUR,2,60,EPK/PK,1980,7,1,1
Malinova Dolina,"Dvustaen apartament, Malinova dolina
Malinova Dolina, Sofia",85700EUR,2,68,Tuhla,2024,7,1,1
Karpuziza,"Kompakten tristaen v nova sgrada
Karpuziza, Sofia",136800EUR,3,90,Tuhla,2023,7,1,1
Karpuziza,"Bez komisionna! Stilen apartament s parkomasto v Karpuziza
Karpuziza, Sofia",187000EUR,2,76,Tuhla,2021,7,1,1
Dianabad,"Kompakten tristaen imot v butikova sgrada pred Akt 16
Dianabad, Sofia",189000EUR,3,115,Tuhla,2023,7,1,1
Medizinska akademia,"Bul. ”Praga”, 4-staen apartament, Prodavam.
 Medizinska akademia, Sofia",240000EUR,4,168,Tuhla,1965,7,1,1
Lulin 5,"Dvustaen apartament v Lulin 5
Lulin 5, Sofia",65500EUR,2,42,Panel,1985,7,1,1
Zent_r,"Idealen zent_r, bul. ”Praga” do ”Pette k_oseta”. 4-staen, Prodavam.
 Zent_r, Sofia",240000EUR,4,168,Tuhla,1965,7,1,1
