location,title,price_eur,rooms,m2,build_material,year,page,kinder_garden,metro_station
Gorublane,"Dvustaen apartament, kv. Gorublane
Gorublane, Sofia",95900EUR,2,82,Tuhla,1984,89,1,1
Ovca Kupel,"Ednostaen apartament kv. Ovca kupel
Ovca Kupel, Sofia",106000EUR,0,66,Tuhla,2012,89,1,1
Krasna Polana,"Dvustaen apartament v j.k. Krasna polana 2
Krasna Polana, Sofia",123000EUR,2,80,Panel,1989,89,1,1
Ivan Vazov,"Dvustaen Apartament za Prodajba gr. Sofia, kv. Ivan Vazov
Ivan Vazov, Sofia",399999EUR,2,100,Tuhla,2008,89,1,1
D_rveniza,"Dvustaen apartament 48 kv.m Panel 1982 g. 2 etaj Neposleden
D_rveniza, Sofia",120000EUR,2,48,Panel,1982,89,1,1
Strelbise,"Mnogostaen Apartament za Prodajba, gr. Sofia, kv. Strelbise
Strelbise, Sofia",380000EUR,4,200,Tuhla,2006,89,1,1
Sveta Troiza,"Nov 2-STAEN v Sveta Troiza
 Sveta Troiza, Sofia",132480EUR,2,68,Tuhla,2024,89,1,1
Sveta Troiza,"Nov 4-STAEN v Sveta Troiza
Sveta Troiza, Sofia",220800EUR,4,115,Tuhla,2023,89,1,1
Sveta Troiza,"Nov 2-STAEN v Sveta Troiza
 Sveta Troiza, Sofia",124800EUR,2,65,Tuhla,2024,89,1,1
Slatina,"Tristaen v j.k Slatina.
Slatina, Sofia",190000EUR,3,98,Panel,1985,89,1,1
B_kston,"Tristaen v B_kston.
B_kston, Sofia",280000EUR,3,141,Tuhla,2016,89,1,1
Lulin 4,"Tristaen apartament 83 kv.m EPK/PK 1983 g. 12 etaj Neposleden
Lulin 4, Sofia",175000EUR,3,83,EPK/PK,1983,89,1,1
Medizinska akademia,"Tristaen apartament kv. Mladost 1
Medizinska akademia, Sofia",181000EUR,3,103,EPK/PK,1984,89,1,1
Malinova Dolina,"Tristaen apartament Malinova dolina
Malinova Dolina, Sofia",147900EUR,3,83,Tuhla,2023,89,1,1
Boana,"ERA Drujba prodava tristaen mezonet v novostroasa se sgrada v kv. Boana.
 Boana, Sofia",238584EUR,10,140,Tuhla,2024,89,1,1
Boana,"ERA Drujba prodava tristaen apartament v novostroasa se sgrada v kv. Boana.
 Boana, Sofia",206522EUR,3,133,Tuhla,2024,90,0,0
Boana,"ERA Drujba prodava tristaen apartament v novostroasa se sgrada v kv. Boana.
 Boana, Sofia",165695EUR,3,107,Tuhla,2024,90,0,0
Boana,"ERA Drujba prodava dvustaen apartament v novostroasa se sgrada v kv. Boana.
 Boana, Sofia",137070EUR,2,95,Tuhla,2024,90,0,0
Sofia,"Tristaen apartament 129 kv.m Tuhla 1 etaj P_rvi jilisen
 Sofia",177403EUR,3,129,Tuhla,2024,90,0,0
Malinova Dolina,"Mnogostaen apartament 125 kv.m Tuhla 1985 g. 6 etaj Neposleden
Malinova Dolina, Sofia",160000EUR,4,125,Tuhla,1985,90,0,0
Lozenez,"Dvustaen apartament v j.k. Lozenez
Lozenez, Sofia",240000EUR,2,83,Tuhla,1960,90,0,0
Obela 2,"Dvustaen apartament kv. Obela 2
Obela 2, Sofia",105000EUR,2,66,Panel,1987,90,0,0
Ovca Kupel,"Obzaveden Tristaen Apartament v Ovca Kupel
Ovca Kupel, Sofia",169000EUR,3,87,Panel,1980,90,0,0
Malinova Dolina,"Prostoren Tristaen Apartament v Malinova Dolina!
Malinova Dolina, Sofia",252000EUR,3,147,Tuhla,2022,90,0,0
Manastirski Livadi,"Dvustaen Apartament v Manastirski Livadi
Manastirski Livadi, Sofia",128999EUR,2,84,Tuhla,2023,90,0,0
Mladost 1,"3-st. Mladost 1, EPK, 82 kv., et.1, zena 145000 E.
Mladost 1, Sofia",145000EUR,3,82,EPK/PK,1990,90,0,0
Ovca Kupel 1,"Dvustaen apartament 82 kv.m Tuhla 2023 g. 3 etaj Neposleden
Ovca Kupel 1, Sofia",98200EUR,2,82,Tuhla,2023,90,0,0
Lozenez,"Obzaveden tristaen apartament s_s Smart Home sistema v Sofia Land Residence
 Lozenez, Sofia",795000EUR,3,167.37,Tuhla,n/a,90,0,0
Zent_r,"Jilise s parkomasto v TOP zent_r
 Zent_r, Sofia",370000EUR,3,91,Tuhla,n/a,90,0,0
Krasna Polana,"Tristaen apartament Krasna polana 2
Krasna Polana, Sofia",134000EUR,3,90,EPK/PK,1985,90,0,0
Iztok,"Cetiristaen apartament Iztok
Iztok, Sofia",390000EUR,4,160,Tuhla,1995,90,0,0
Dragalevzi,"2-staen apartament i sklad-ofis
 Dragalevzi, Sofia",120000EUR,4,121,Tuhla,2022,90,0,0
