region,area,population,coordinates,distance_from_center
Kremikovzi / Pancarevo,"s. D.Bogrov, Blatata Krivina",0.0,"[42.710452, 23.479072]",12.933555675239914
Ovca Kupel,"Suhodol, m. Krusovez",5.0,"[42.70112, 23.205336]",9.52055216948179
Vr_bniza,"s. Mramor, m. Kr_sta",0.0,"[42.778399, 23.272426]",9.83546846610515
Pancarevo,m. Mutijska vodeniza,0.0,"[42.693902, 23.482104]",13.11196026022248
Pancarevo,"s. D. Lozen, m. Anino raske",0.0,"[42.624148, 23.516886]",17.93072309809895
Pancarevo,"s. D. Lozen, m. Beli rid",0.0,"[42.62357, 23.536664]",19.41124281164477
Kremikovzi,"kv. Vrajdebna, Biznes zona m. Progono",8.0,"[42.707556, 23.44989]",10.52847435811778
Ovca Kupel,"kv. Suhodol, m. Vodenizata",0.0,"[42.706194, 23.228881]",7.647071140343728
Kremikovzi,zem. zemi Malasevzi Gerena,0.0,"[42.725014, 23.383589]",5.895136245159484
Serdika,"kv. Benkovski, m. Obradovski geren",0.0,"[42.747574, 23.357012]",6.248960581867126
Pancarevo,Hidropark Isk_r - cast D.Pasarel - Pancarevo,0.0,"[42.604095, 23.409847]",12.659339705845573
Pancarevo,"Pancarevo, m. Goli del",0.0,"[42.587781, 23.405675]",14.018756700690366
Novi Isk_r,s. Dobroslavzi poleto,0.0,"[42.802562, 23.274313]",12.286108849026858
Kremikovzi,"s. D. Bogrov, m. Bresto",0.0,"[42.724972, 23.528415]",17.155714150797607
Vr_bniza,m. Kelkaza - s. Mramor,0.0,"[42.776664, 23.257657]",10.221727852703415
Ovca Kupel,"s. Malo Bucino, m. Pladnise",0.0,"[42.691525, 23.163932]",12.915771190514045
Novi Isk_r,s. Balsa poleto,0.0,"[42.846784, 23.262486]",17.268225336708223
Novi Isk_r,s. Jiten poleto,0.0,"[42.834506, 23.253781]",16.191875104935615
Kremikovzi,"s. D.Bogrov, m. Ormana",0.0,"[42.70714, 23.49508]",14.202895998304944
Vr_bniza,"s. Voluak, m. Primicur",0.0,"[42.784164, 23.215221]",12.965569102196424
Novi Isk_r,kv. Celopecene - m. Zavoa,0.0,"[42.749592, 23.465396]",13.076162153962919
Nadejda,"kv. Trebic, m. Cuculiza - zapad",0.0,"[42.780426, 23.294869]",9.456532912788315
Vr_bniza,"s. Voluak, m. Lokva",0.0,"[42.748652, 23.272421]",6.9519111822304325
Vr_bniza,s. Voluak - JP gara Voluak,345.0,"[42.762585, 23.23695]",10.000920060200762
Vr_bniza,"s. Mramor, m. Rido",52.0,"[42.778325, 23.253164]",10.57053037383683
Serdika,"s. Kubratovo, m. Otv_d rekata",0.0,"[42.771495, 23.365643]",8.95426034577272
